Set Name,Expansion Code,Link
Kamigawa: Neon Dynasty,NEO,https://scryfall.com/sets/neo/en
Innistrad: Crimson Vow,VOW,https://scryfall.com/sets/vow/en
Innistrad: Midnight Hunt,MID,https://scryfall.com/sets/mid/en
Adventures in the Forgotten Realms,AFR,https://scryfall.com/sets/afr/en
Strixhaven: School of Mages,STX,https://scryfall.com/sets/stx/en
Kaldheim,KHM,https://scryfall.com/sets/khm/en
Zendikar Rising,ZNR,https://scryfall.com/sets/znr/en
Ikoria: Lair of Behemoths,IKO,https://scryfall.com/sets/iko/en
Theros Beyond Death,THB,https://scryfall.com/sets/thb/en
Throne of Eldraine,ELD,https://scryfall.com/sets/eld/en
War of the Spark,WAR,https://scryfall.com/sets/war/en
Ravnica Allegiance,RNA,https://scryfall.com/sets/rna/en
Guilds of Ravnica,GRN,https://scryfall.com/sets/grn/en
Dominaria,DOM,https://scryfall.com/sets/dom/en
Rivals of Ixalan,RIX,https://scryfall.com/sets/rix/en
Ixalan,XLN,https://scryfall.com/sets/xln/en
Hour of Devastation,HOU,https://scryfall.com/sets/hou/en
Amonkhet,AKH,https://scryfall.com/sets/akh/en
Aether Revolt,AER,https://scryfall.com/sets/aer/en
Kaladesh,KLD,https://scryfall.com/sets/kld/en
Eldritch Moon,EMN,https://scryfall.com/sets/emn/en
Shadows over Innistrad,SOI,https://scryfall.com/sets/soi/en
Oath of the Gatewatch,OGW,https://scryfall.com/sets/ogw/en
Battle for Zendikar,BFZ,https://scryfall.com/sets/bfz/en
Dragons of Tarkir,DTK,https://scryfall.com/sets/dtk/en
Fate Reforged,FRF,https://scryfall.com/sets/frf/en
Khans of Tarkir,KTK,https://scryfall.com/sets/ktk/en
Journey into Nyx,JOU,https://scryfall.com/sets/jou/en
Born of the Gods,BNG,https://scryfall.com/sets/bng/en
Theros,THS,https://scryfall.com/sets/ths/en
Dragon's Maze,DGM,https://scryfall.com/sets/dgm/en
Gatecrash,GTC,https://scryfall.com/sets/gtc/en
Return to Ravnica,RTR,https://scryfall.com/sets/rtr/en
Avacyn Restored,AVR,https://scryfall.com/sets/avr/en
Dark Ascension,DKA,https://scryfall.com/sets/dka/en
Innistrad,ISD,https://scryfall.com/sets/isd/en
New Phyrexia,NPH,https://scryfall.com/sets/nph/en
Mirrodin Besieged,MBS,https://scryfall.com/sets/mbs/en
Scars of Mirrodin,SOM,https://scryfall.com/sets/som/en
Rise of the Eldrazi,ROE,https://scryfall.com/sets/roe/en
Worldwake,WWK,https://scryfall.com/sets/wwk/en
Zendikar,ZEN,https://scryfall.com/sets/zen/en
Alara Reborn,ARB,https://scryfall.com/sets/arb/en
Conflux,CON,https://scryfall.com/sets/con/en
Shards of Alara,ALA,https://scryfall.com/sets/ala/en
Eventide,EVE,https://scryfall.com/sets/eve/en
Shadowmoor,SHM,https://scryfall.com/sets/shm/en
Morningtide,MOR,https://scryfall.com/sets/mor/en
Lorwyn,LRW,https://scryfall.com/sets/lrw/en
Future Sight,FUT,https://scryfall.com/sets/fut/en
Planar Chaos,PLC,https://scryfall.com/sets/plc/en
Time Spiral Timeshifted,TSB,https://scryfall.com/sets/tsb/en
Time Spiral,TSP,https://scryfall.com/sets/tsp/en
Coldsnap,CSP,https://scryfall.com/sets/csp/en
Dissension,DIS,https://scryfall.com/sets/dis/en
Guildpact,GPT,https://scryfall.com/sets/gpt/en
Ravnica: City of Guilds,RAV,https://scryfall.com/sets/rav/en
Saviors of Kamigawa,SOK,https://scryfall.com/sets/sok/en
Betrayers of Kamigawa,BOK,https://scryfall.com/sets/bok/en
Champions of Kamigawa,CHK,https://scryfall.com/sets/chk/en
Fifth Dawn,5DN,https://scryfall.com/sets/5dn/en
Darksteel,DST,https://scryfall.com/sets/dst/en
Mirrodin,MRD,https://scryfall.com/sets/mrd/en
Scourge,SCG,https://scryfall.com/sets/scg/en
Legions,LGN,https://scryfall.com/sets/lgn/en
Onslaught,ONS,https://scryfall.com/sets/ons/en
Judgment,JUD,https://scryfall.com/sets/jud/en
Torment,TOR,https://scryfall.com/sets/tor/en
Odyssey,ODY,https://scryfall.com/sets/ody/en
Apocalypse,APC,https://scryfall.com/sets/apc/en
Planeshift,PLS,https://scryfall.com/sets/pls/en
Invasion,INV,https://scryfall.com/sets/inv/en
Prophecy,PCY,https://scryfall.com/sets/pcy/en
Nemesis,NEM,https://scryfall.com/sets/nem/en
Mercadian Masques,MMQ,https://scryfall.com/sets/mmq/en
Urza's Destiny,UDS,https://scryfall.com/sets/uds/en
Urza's Legacy,ULG,https://scryfall.com/sets/ulg/en
Urza's Saga,USG,https://scryfall.com/sets/usg/en
Exodus,EXO,https://scryfall.com/sets/exo/en
Stronghold,STH,https://scryfall.com/sets/sth/en
Tempest,TMP,https://scryfall.com/sets/tmp/en
Weatherlight,WTH,https://scryfall.com/sets/wth/en
Visions,VIS,https://scryfall.com/sets/vis/en
Mirage,MIR,https://scryfall.com/sets/mir/en
Alliances,ALL,https://scryfall.com/sets/all/en
Homelands,HML,https://scryfall.com/sets/hml/en
Ice Age,ICE,https://scryfall.com/sets/ice/en
Fallen Empires,FEM,https://scryfall.com/sets/fem/en
The Dark,DRK,https://scryfall.com/sets/drk/en
Legends,LEG,https://scryfall.com/sets/leg/en
Antiquities,ATQ,https://scryfall.com/sets/atq/en
Arabian Nights,ARN,https://scryfall.com/sets/arn/en
